MARVEL COMICS,,,,,
,JAN21 0705,STRANGE ACADEMY #9 ART ADAMS CHARACTER SPOTLIGHT VAR,03/10/21,SRP: $3.99, = $
,JAN21 0706,STRANGE ACADEMY #9 MICHAEL CHO DOCTOR STRANGE TWO-TONE VAR,03/10/21,SRP: $3.99, = $
PAGE 79,,,,,
,JAN21 0707,STAR WARS #12,03/10/21,SRP: $3.99, = $
,JAN21 0708,STAR WARS #12 SPROUSE EMPIRE STRIKES BACK VAR,03/10/21,SRP: $3.99, = $
,JAN21 0709,STAR WARS #12 CHRISTOPHER ACTION FIGURE VAR,03/10/21,SRP: $3.99, = $
PAGE 80,,,,,
,JAN21 0711,STAR WARS HIGH REPUBLIC #3,03/03/21,SRP: $3.99, = $
PAGE 82,,,,,
,JAN21 0713,STAR WARS BOUNTY HUNTERS #10,03/17/21,SRP: $3.99, = $
,JAN21 0714,STAR WARS BOUNTY HUNTERS #10 SPROUSE EMPIRE STRIKES BACK VAR,03/17/21,SRP: $3.99, = $
PAGE 83,,,,,
,JAN21 0715,STAR WARS DOCTOR APHRA #8,03/24/21,SRP: $3.99, = $
PAGE 89,,,,,
,JAN21 0717,PREDATOR ORIG YRS OMNIBUS HC VOL 01 COELLO CVR,07/21/21,SRP: $125.00, = $
,JAN21 0718,PREDATOR ORIG YRS OMNIBUS HC VOL 01 WARNER DM VAR,07/21/21,SRP: $125.00, = $
PAGE 90,,,,,
,JAN21 0719,CAPTAIN AMERICA REMENDER OMNIBUS HC ROMITA JR CVR,07/14/21,SRP: $125.00, = $
,JAN21 0720,CAPTAIN AMERICA REMENDER OMNIBUS HC IMMONEN DM VAR,07/14/21,SRP: $125.00, = $
PAGE 91,,,,,
,JAN21 0721,CAPTAIN AMERICA BY JURGENS OMNIBUS HC JURGENS CVR,06/30/21,SRP: $100.00, = $
,JAN21 0722,CAPTAIN AMERICA BY JURGENS OMNIBUS HC HA DM VAR,06/30/21,SRP: $100.00, = $
PAGE 92,,,,,
,JAN21 0723,CAPTAIN AMERICA OMNIBUS HC VOL 03 COELLO CVR,07/07/21,SRP: $125.00, = $
,JAN21 0724,CAPTAIN AMERICA OMNIBUS HC VOL 03 BUSCEMA DM VAR,07/07/21,SRP: $125.00, = $
PAGE 93,,,,,
